프로젝트,선종,선종.1,업체구분,검사길이,불량길이,검사방법,검사자ID,과,검사실적입력일,NDE업체,용도판정,사유코드,사유코드 설명,직반장사번,직반장성명,직반장 Vendor 코드,용접사사번,용접사성명,용접완료일,용접방법
P22,CNT,A,SHI,1200.0,해당없음,초음파,ID00000005,D43,2023-03-31,NC1,승인,해당없음,해당없음,A000020,김*수,직영,W007477,방*준,2023-03-26,SAW
P22,CNT,A,SHI,450.0,해당없음,초음파,ID00000013,D41,2023-03-31,NC2,승인,해당없음,해당없음,A000091,김*봉,직영,W022567,석*훈,2023-03-28,FCAW
P22,CNT,A,SHI,450.0,해당없음,초음파,ID00000013,D41,2023-03-31,NC2,승인,해당없음,해당없음,A000091,김*봉,직영,W022567,석*훈,2023-03-28,FCAW
P22,CNT,A,SHI,450.0,해당없음,초음파,ID00000013,D41,2023-03-31,NC2,승인,해당없음,해당없음,A000091,김*봉,직영,W013933,김*윤,2023-03-28,FCAW
P22,CNT,A,SHI,450.0,해당없음,초음파,ID00000013,D41,2023-03-31,NC2,승인,해당없음,해당없음,A000091,김*봉,직영,W013933,김*윤,2023-03-28,FCAW
P35,CNT,A,Vendor,700.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
P35,CNT,A,Vendor,1200.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
P35,CNT,A,Vendor,700.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
P35,CNT,A,Vendor,1200.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
P35,CNT,A,Vendor,700.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
P35,CNT,A,Vendor,700.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
P35,CNT,A,Vendor,700.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
P35,CNT,A,Vendor,700.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
P35,CNT,A,Vendor,700.0,해당없음,초음파,ID00000012,D28,2023-03-31,NC3,승인,해당없음,해당없음,A000021,남*우,V14,W004900,김*옥,2023-03-03,SAW
